*.*.186.17,161,"MFS23xx V1.3"
*.*.225.254,161,"FTTP/H-EPON P-OLT System"
*.*.46.2,161,"P3324FG"
*.*.126.245,161,"MFS23xx V1.3"
*.*.48.118,161,"V1124 NOS 7.50/DS-O3-06O-C1"
*.*.94.253,161,"V1724 NOS 9.21/DS-PB-068-G1"
*.*.45.21,161,"P3316FG"
*.*.129.7,161,"P3324FG"
*.*.51.12,161,"P3324FG"
*.*.49.6,161,"V1624 NOS 3.14/DS-T2-1F0-A3 8"
*.*.72.13,161,"MFS23xx V1.1"
*.*.240.3,161,"IP-DSLAM description."
*.*.213.216,161,"P3316FG"
*.*.182.2,161,"V1824 NOS 3.13/DS-TN-07O-B0"
*.*.233.147,161,"SwitchMore-2612F, Layer 2 switch<12 10/100 fx ports and 2 option boards>, Copyright@2002 Deonet Company."
*.*.36.162,161,"V5972 NOS 9.16/DS-Q9-161-B1"
*.*.247.172,161,"V2116 NOS 7.13/R0A"
*.*.116.5,161,"V1824 NOS 3.13/DS-TN-07O-B0"
*.*.241.15,161,"P3324FG"
*.*.144.165,161,"ADSL Router, SNMPv1/v2c Agent, Ambit Microsystem, Inc."
*.*.129.210,161,"ROS 2.5.3 (#14160) [SER350Q, #4036] Feb 1 10:22:28 2007"
*.*.245.136,161,"-- Unknown --"
*.*.28.40,161,"DSL Modem"
*.*.132.244,161,"Ericsson EDN312xp (IP DSLAM); SW version: CXC 132 8112 R1Z03;"
*.*.73.41,161,"-- Unknown --"
*.*.28.26,161,"Internet Broadband Router"
*.*.246.89,161,"DSL Modem"
*.*.181.27,161,"Apple Base Station V3.84 Compatible"
*.*.76.203,161,"Broadband Residential Gateway"
*.*.175.82,161,"Prestige 660R-61"
*.*.60.117,161,"P-660R-T1 v2 "
*.*.95.217,161,"Prestige 660R-61"
*.*.86.1,161,"Cisco Internetwork Operating System Software ..IOS (tm) 10000 Software (UBR10K2-K8P6U2-M), Version 12.3(21)BC, RELEASE SOFTWARE (fc1)..Technical Support: http://www.cisco.com/techsupport..Copyright (c) 1986-2007 by cisco Systems, Inc...Compiled Fri 02-Feb"
*.*.231.84,161,"ADSL Modem"
*.*.234.78,161,"ADSL Modem"
*.*.94.1,161,"Cisco Internetwork Operating System Software ..IOS (tm) 10000 Software (UBR10K2-K8P6-M), Version 12.3(9a)BC4, RELEASE SOFTWARE (fc1)..Technical Support: http://www.cisco.com/techsupport..Copyright (c) 1986-2005 by cisco Systems, Inc...Compiled Fri 24-Jun-"
*.*.233.67,161,"Apple AirPort - Apple Computer, 2006. All rights Reserved"
*.*.182.248,161,"P-660R-T1 v2 "
*.*.240.36,161,"P-660R-T1 v2 "
*.*.0.249,161,"-- Unknown --"
*.*.192.1,161,"-- Unknown --"
*.*.46.195,161,"SMC ADSL2 Barricade"
*.*.242.46,161,"Telson IP VDSL SWITCH (XV2424)"
*.*.102.160,161,"PacketCable 1.0 EMTA Cable Modem ; <<HW_REV: 25.0.0; VENDOR: Toshiba Corporation; BOOTR: 1.4; SW_REV: 1.44.12; MODEL: PCX3200>>"
*.*.208.3,161,"Wireless ADSL Gateway"
*.*.47.85,161,"Apple Base Station V3.84 Compatible"
*.*.60.71,161,"MIB-2 of Broadband-Router"
*.*.131.71,161,"Cisco IOS Software, 3800 Software (C3825-ENTSERVICESK9-M), Version 12.4(12), RELEASE SOFTWARE (fc1)..Technical Support: http://www.cisco.com/techsupport..Copyright (c) 1986-2006 by Cisco Systems, Inc...Compiled Fri 17-Nov-06 15:31 by prod_rel_team"
*.*.156.204,161,"Tsunami MP.11 5054-R v2.5.1(215) SN-07UT19700116"
*.*.192.41,161,"Cisco Internetwork Operating System Software ..IOS (tm) s72033_rp Software (s72033_rp-IPSERVICES_WAN-M), Version 12.2(18)SXF, RELEASE SOFTWARE (fc1)..Technical Support: http://www.cisco.com/techsupport..Copyright (c) 1986-2005 by cisco Systems, Inc...Comp"
*.*.22.34,161,"Cisco Internetwork Operating System Software ..IOS (tm) C2950 Software (C2950-I6Q4L2-M), Version 12.1(22)EA6, RELEASE SOFTWARE (fc1)..Copyright (c) 1986-2005 by cisco Systems, Inc...Compiled Fri 21-Oct-05 01:59 by yenanh"
*.*.4.46,161,"-- Unknown --"
*.*.124.13,161,"F1024 V0.1"
*.*.206.3,161,"P3324FG"
*.*.72.135,161,"P3316FG"
*.*.124.136,161,"P3316FG"
*.*.111.138,161,"P3324FG"
*.*.117.125,161,"V5972 NOS 9.16/DS-Q9-161-B1"
*.*.49.241,161,"V1624 NOS 3.14/DS-T2-1F0-A3 8"
*.*.8.17,161,"V1624 NOS 3.14/DS-T2-1F0-A3 8"
*.*.241.10,161,"IP-DSLAM description."
*.*.57.3,161,"P3324FG"
*.*.101.10,161,"V5924B NOS 3.06/DS-U2-236-A1"
*.*.173.9,161,"MFS23xx V1.3"
*.*.206.137,161,"Residential ADSL Gateway"
*.*.9.198,161,"ADSL Modem/Route"
*.*.108.243,161,"LinkProof Branch - 25M - with SynApps, VPN"
*.*.112.250,161,"Alexon VIA300"
*.*.93.68,161,"DV-216SS VOIP G/W system (16FXS)"
*.*.22.96,161,"-- Unknown --"
*.*.206.57,161,"-- Unknown --"
*.*.70.43,161,"-- Unknown --"
